hash,blockNumber,timestamp,date,hour,from,to,value_eth,gas_fee_eth,gas_price_gwei,gasUsed,nonce,transactionIndex,is_contract_creation,is_error,confirmations
0x1c7cfc6ad434a24709f552627b254642fffe5e3784470695f8e2920c660f4fa6,4754488,2017-12-18 12:59:46,2017-12-18,12,0xcd5f8fa45e0ca0937f86006b9ee8fe1eedee5fc4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000566112,12.0,47176,10,71,False,False,18987074
0xbd2a7237fd4ef25a4ba3c9974d14801f00b53e5259ef91e08f48424e194cf181,4754493,2017-12-18 13:01:00,2017-12-18,13,0x8d44eaae757884f4f8fb4664d07acecee71cfd89,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,126,109,False,False,18987069
0xb73fe93fcfb57e1661d457ce62f4c198e17177e24b74d23b00578948d2509e33,4754501,2017-12-18 13:03:47,2017-12-18,13,0xcd5f8fa45e0ca0937f86006b9ee8fe1eedee5fc4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.005,0.000520152,12.0,43346,12,185,False,False,18987061
0xf0530056a3fd451fc3263a6081f262b8d1c6fc097da52fe250c59351a5b43b0c,4754982,2017-12-18 15:11:27,2017-12-18,15,0x007b9f0cb5226662497e57a65efa6cadb8399532,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.00130771872,27.72,47176,1,36,False,False,18986580
0x53cac7052e47f9aabb3af8ee2f86a1c6bf00ad621356bf5d88c59f5ba8088426,4754984,2017-12-18 15:12:21,2017-12-18,15,0x007b9f0cb5226662497e57a65efa6cadb8399532,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.05,0.00130038,30.0,43346,2,96,False,False,18986578
0xed525a68085b3eccdc18b2ea3bc5d997871896eb831cdf241618816dc4877f51,4755001,2017-12-18 15:16:23,2017-12-18,15,0x655a0821de1791c55986b4ba906357d88d7a0c49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.00047176,10.0,47176,291,88,False,False,18986561
0x8271131d3b759873961fcc268d89cab04478918576ea005dd577118f6a93e002,4755002,2017-12-18 15:16:36,2017-12-18,15,0x655a0821de1791c55986b4ba906357d88d7a0c49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.5,0.00043346,10.0,43346,292,157,False,False,18986560
0xc06444135a146ea1666b4ceb1fe8a8cdb3562f4421ad428242b36f4deb217f0d,4755142,2017-12-18 15:47:35,2017-12-18,15,0xc031d5e3822be0335027ecf88afdfd3433a97fe1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,0.00021673,5.0,43346,102,38,False,False,18986420
0x7c31c1251d3e2786db61c2d0f506038f473a5b04de8cdceeeafff093ecd6a1ab,4755177,2017-12-18 15:57:31,2017-12-18,15,0xc031d5e3822be0335027ecf88afdfd3433a97fe1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000283056,6.0,47176,104,47,False,False,18986385
0x00ca6e54f8a2ebe24152429a88d36e0acbfc22761b5a6f18d7362b85f712fbaf,4755298,2017-12-18 16:31:21,2017-12-18,16,0x11664b75364d51655c01ad169b0a936a92feb12f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.5,0.000910266,21.0,43346,8,66,False,False,18986264
0x06af2dd934b9f3a81c7280d4334cc02a130bbc7d25e2ac4d80b8ccb3b2c63a6e,4755309,2017-12-18 16:34:08,2017-12-18,16,0x11664b75364d51655c01ad169b0a936a92feb12f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,9,84,False,False,18986253
0xf42eba0d5785c473a8bf889232f7a71bcb844cf4102073db5fecf16e9e590096,4755330,2017-12-18 16:39:49,2017-12-18,16,0x007b9f0cb5226662497e57a65efa6cadb8399532,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.5,0.000910266,21.0,43346,5,163,False,False,18986232
0xbfb444c4f6387c9772ad9ca995fa4e5b4e25de7d587bef781d77cc1f9c002eef,4755569,2017-12-18 17:45:52,2017-12-18,17,0x1a40ca0774518d8f7f41df7da070a4aae08184f1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000188704,4.0,47176,207,16,False,False,18985993
0x76480dcafd3e55a9f05dfdaa14668277f58806ed04fe55c41bbf8b7ec360e220,4755578,2017-12-18 17:47:11,2017-12-18,17,0x1a40ca0774518d8f7f41df7da070a4aae08184f1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000188704,4.0,47176,208,173,False,False,18985984
0x56cf4fa2f94f55893b7377313c6b6713e3597be3526cb49d1c1d86f60b26c3ce,4755646,2017-12-18 18:04:39,2017-12-18,18,0x1a40ca0774518d8f7f41df7da070a4aae08184f1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.5,0.00021673,5.0,43346,214,140,False,False,18985916
0x830b85d91b091a65936e297d09ce7e37a65567381799210ec0cea252b3d10a55,4755679,2017-12-18 18:11:34,2017-12-18,18,0x9cefde113e96adbe99b8975bbb25825d4c4d0e77,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.95,0.000910266,21.0,43346,0,22,False,False,18985883
0x7d0ddb02e4a39e02b8472369af7a42e6a0f92213c1ef2b5c1deca2aa93d21a6e,4755683,2017-12-18 18:12:32,2017-12-18,18,0x9cefde113e96adbe99b8975bbb25825d4c4d0e77,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,1,177,False,False,18985879
0xe43421a5b135a9566c2803eb853315ccd0e262c4b57a440f1a4d3f3ce4d67201,4755707,2017-12-18 18:18:32,2017-12-18,18,0x7c5f6ffad368dbf1a83e6d66b5ace792fac2e7c0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,300.0,0.000910266,21.0,43346,266,47,False,False,18985855
0x81251be3bc3dbbad6625b8222ce8bb69c2027033aebee10d3e06479aca07b871,4755712,2017-12-18 18:19:21,2017-12-18,18,0x7c5f6ffad368dbf1a83e6d66b5ace792fac2e7c0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,267,78,False,False,18985850
0xacf1451d70ead83a7a508af4bb024c055281e2710b38f1cda0fe9615e21a003d,4755758,2017-12-18 18:34:01,2017-12-18,18,0x9cefde113e96adbe99b8975bbb25825d4c4d0e77,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,5,138,False,False,18985804
0x38ed436f10095e49343ba25cbbd196a3316be02dadbde3600ac2d9300a229e26,4755818,2017-12-18 18:48:28,2017-12-18,18,0xe730b30256bd9d3f5cbfdaad0f584307876acd25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,105,117,False,False,18985744
0xb788b8cc72a9440f7b1107614daaea97fc1660fae68bff538143f4893bd71937,4755822,2017-12-18 18:48:56,2017-12-18,18,0xe730b30256bd9d3f5cbfdaad0f584307876acd25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.3,0.000910266,21.0,43346,106,17,False,False,18985740
0xf97ec7bdeae10848faaa54b8a8fa0dd9e1735b4b6c63154a6090fbb1d0e39c4d,4755843,2017-12-18 18:55:59,2017-12-18,18,0xf5c7bcb44ebafc72d46dbc70b717272e19024da4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,100.0,0.000910266,21.0,43346,176,106,False,False,18985719
0xf4374a91d5a5af7d590d593b75db2b115a976c020858c59db4d00d7a236bce2f,4755852,2017-12-18 18:58:53,2017-12-18,18,0xf5c7bcb44ebafc72d46dbc70b717272e19024da4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,178,83,False,False,18985710
0x3270ec51d160a5561fcfb9b0aad5de089acb5b6ff25fab2213840cc6dda11375,4755891,2017-12-18 19:07:45,2017-12-18,19,0xc7898d042e0f9d96a33ad0bcbca0e69ceb31c918,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.08,0.001126996,26.0,43346,7,44,False,False,18985671
0xa6769f57fd81d2102b0a8e650ee5c3afb1d6c73b6ae740de5d46632a92a6467d,4755894,2017-12-18 19:08:25,2017-12-18,19,0x179f4792401969a8053785917fb000393c72fb49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.008,0.000910266,21.0,43346,3,52,False,False,18985668
0xb38a05914f33fd113f6cc5fdac14f9958fb84ebc3321a39d6e09cdef4b203074,4755897,2017-12-18 19:09:14,2017-12-18,19,0xc7898d042e0f9d96a33ad0bcbca0e69ceb31c918,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,8,182,False,False,18985665
0xbff926e27df375552b3b506ea07ec2ede282503fa0114fbf32bd2d05ba30fa5c,4755902,2017-12-18 19:10:41,2017-12-18,19,0x179f4792401969a8053785917fb000393c72fb49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,4,177,False,False,18985660
0xeebbc900c49a91c26820a4245ce2beb4a2d5c33cb7b166e19f73157a7ccb4e26,4755976,2017-12-18 19:27:07,2017-12-18,19,0xc031d5e3822be0335027ecf88afdfd3433a97fe1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,219.0,0.000910266,21.0,43346,108,234,False,False,18985586
0x51fe5cd7284d90f5b1d9f189535daa73ba0602eb38c8c910d164b1ccb037f228,4756025,2017-12-18 19:39:04,2017-12-18,19,0xdc2cf5cbfa31958ed32c3ace696ee6bf1a6a19f4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.00023588,5.0,47176,187,178,False,False,18985537
0x2156c8deb63cb9ae47489b49aa093212b2c2823a07f45f67ad0fcfed2c7aa481,4756035,2017-12-18 19:41:23,2017-12-18,19,0xdc2cf5cbfa31958ed32c3ace696ee6bf1a6a19f4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.00023588,5.0,47176,188,176,False,False,18985527
0xfa19123967d6a29835c2d4d321fadf82a34fe468c48be77dbcedb6f9a6f1ad49,4756044,2017-12-18 19:44:30,2017-12-18,19,0x2fb25db3c24395edd0bf1698c1643d33cee7c90c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01,0.00065019,15.0,43346,9,193,False,False,18985518
0x65f3a053c25bed318366182108baf7fa41ff37820640d618e3c709f34f00c8a7,4756058,2017-12-18 19:47:58,2017-12-18,19,0x2fb25db3c24395edd0bf1698c1643d33cee7c90c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.00070764,15.0,47176,10,27,False,False,18985504
0x9e3c3bffae16d4ce2019d6bf488449cc4dbb0322955fb02ee265e722fafe58fd,4756067,2017-12-18 19:50:58,2017-12-18,19,0x0e4555922c52ffddcfb006d3dbc94b21541f0f15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0010897656,23.1,47176,8013,109,False,False,18985495
0x14a728c928e2607c020045a5446f376a37e29a09b18d0c6cdc536f175fd21118,4756068,2017-12-18 19:51:05,2017-12-18,19,0x383e4881f86a5c58710ee7df1efe95e226345756,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,0.000910266,21.0,43346,38,116,False,False,18985494
0x69f5d898abc183d558fd359583a348a39a237fc853aac1de070df7514a49c05f,4756076,2017-12-18 19:52:44,2017-12-18,19,0x9c0d194fa3058957c0bf82112e60b80b5a819c26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,44,195,False,False,18985486
0xa40da7796085241f14aa3a07c53d5f1a309066eff260565242faf7a3acdd9485,4756112,2017-12-18 19:59:13,2017-12-18,19,0x383e4881f86a5c58710ee7df1efe95e226345756,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,39,95,False,False,18985450
0xd1a06548e4a0e81754899d62f57c70caae536782eb2f015490a0b74ff6232d36,4756157,2017-12-18 20:13:08,2017-12-18,20,0x8d44eaae757884f4f8fb4664d07acecee71cfd89,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,100.0,0.000910266,21.0,43346,136,160,False,False,18985405
0xee370c55bf7c744a1a01f3959735726c7a6c0f78c5671cc199385bfcdb88f949,4756195,2017-12-18 20:22:09,2017-12-18,20,0x8d44eaae757884f4f8fb4664d07acecee71cfd89,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000768978,21.0,36618,140,91,False,False,18985367
0x868622e276e1782a8b82bf394ddd6a4c2c0f371d119f659a1fa4d41ae189b412,4756208,2017-12-18 20:27:08,2017-12-18,20,0x8d44eaae757884f4f8fb4664d07acecee71cfd89,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,750.0,0.000910266,21.0,43346,141,187,False,False,18985354
0x44e3db3ab89d819250f135537e8fc51671a5b725636f3e9715410d36b37b3761,4756216,2017-12-18 20:29:09,2017-12-18,20,0x79a8a07e295bb4366f4ddf486850426decd0f4b1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.05,0.00130038,30.0,43346,12,19,False,False,18985346
0x4888f41472af3b1222d43bf25d3ba11cb7fca621db179f8727fce3b9c05dfb26,4756222,2017-12-18 20:30:21,2017-12-18,20,0x79a8a07e295bb4366f4ddf486850426decd0f4b1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,13,117,False,False,18985340
0x5ca9c37d06c07fc178aed48056c4b5bc5bcd9314a8a18255f9d6cf608916c035,4756226,2017-12-18 20:31:54,2017-12-18,20,0x024bcbcaad82e67f721799e259ca60bc7d363419,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,0.000910266,21.0,43346,180,214,False,False,18985336
0x79b42217b3a825ff1b31a76b0c7837d80cb3eb5c659c60fa8f5e5556245d9bf1,4756236,2017-12-18 20:34:19,2017-12-18,20,0x79a8a07e295bb4366f4ddf486850426decd0f4b1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.05,0.000346768,8.0,43346,15,205,False,False,18985326
0x2db9839ce83d143a9cb0f6981d5d4b6e7d28a1068e48d2f1811e27f92bc04a82,4756240,2017-12-18 20:35:54,2017-12-18,20,0x024bcbcaad82e67f721799e259ca60bc7d363419,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,181,109,False,False,18985322
0x70ed1d4d6847c39fc797a58c5d83b58cad8af9eed05a5937cde47737c542ff96,4756243,2017-12-18 20:36:39,2017-12-18,20,0x007b9f0cb5226662497e57a65efa6cadb8399532,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.3,0.000595266,21.0,28346,9,198,False,False,18985319
0xe7f032333b19f4f41112a82b71f81ee9dbecc47ef5b91a4c93405ba0593e0f36,4756252,2017-12-18 20:37:42,2017-12-18,20,0x79a8a07e295bb4366f4ddf486850426decd0f4b1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000955752,21.0,45512,16,65,False,False,18985310
0xffd64ea48b0019b379308afd89a69c0470137968a6d2cd799a6ddcaca366cee7,4756253,2017-12-18 20:37:46,2017-12-18,20,0x9c70c6a46a3cbeb4ecbd41ce9197de208b212206,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.1,0.000910266,21.0,43346,121,101,False,False,18985309
0x24d48134df393b218a7e3ba62a9b4640cbfd0873e88656a94cb75e3dd5def506,4756256,2017-12-18 20:38:58,2017-12-18,20,0x024bcbcaad82e67f721799e259ca60bc7d363419,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,89.0,0.000910266,21.0,43346,183,159,False,False,18985306
0x2c799a1e653f1c11be02256c1e49bd238c7120918a72e1aba615649d60eed65d,4756256,2017-12-18 20:38:58,2017-12-18,20,0x9c70c6a46a3cbeb4ecbd41ce9197de208b212206,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,122,182,False,False,18985306
0x6ba21cd089d2bfd3a253c5f61cdf63a3f7ea3afa6caf11eb48d787042852a416,4756271,2017-12-18 20:42:54,2017-12-18,20,0x51204a44e7b1a7e7bd0b1065c880ec02d3831b27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.1,0.00260076,60.0,43346,6,11,False,False,18985291
0xdba94df6904bca639a61c54e538c8f9cf1ccde08afe6f2acf9c36e3e106f2512,4756273,2017-12-18 20:43:20,2017-12-18,20,0x9c0d194fa3058957c0bf82112e60b80b5a819c26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000675696,21.0,32176,45,211,False,False,18985289
0xe510a2d99d95a6974e5f95a3a745b2ffe873bf6645b764658d978856ac180cd2,4756281,2017-12-18 20:45:02,2017-12-18,20,0x51204a44e7b1a7e7bd0b1065c880ec02d3831b27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.00129744,60.0,21624,8,4,False,False,18985281
0xd9e5f58e9da2fc3f8fad7a20b33271f464626df4d6e82800d04f01375feb7a41,4756300,2017-12-18 20:49:22,2017-12-18,20,0x024bcbcaad82e67f721799e259ca60bc7d363419,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000957096,21.0,45576,185,219,False,False,18985262
0x1f41f580b642e4115871532ce7909c89477971057609ff2b2c5e440def743301,4756304,2017-12-18 20:50:08,2017-12-18,20,0x66b041952eb1f24c608063900ac495a0bd00c887,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.1,0.000910266,21.0,43346,65,90,False,False,18985258
0xa8a5531668a53beeea65dfbbca1f899c7484cecbaea88e1fbb1b14396de259c2,4756311,2017-12-18 20:51:30,2017-12-18,20,0x66b041952eb1f24c608063900ac495a0bd00c887,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000957096,21.0,45576,66,92,False,False,18985251
0x43cbde5c3004cad5d48c700d72944ec3840227c35333a4076059014305bb85b1,4756315,2017-12-18 20:52:10,2017-12-18,20,0x007b9f0cb5226662497e57a65efa6cadb8399532,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000955752,21.0,45512,10,271,False,False,18985247
0xad2576c243da1137840f7492b3fa50098f825f237176420d3aa27cc4e790eb0b,4756322,2017-12-18 20:53:46,2017-12-18,20,0x0bbca910c37698344226d075daf1f24ef17a6d47,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.5,0.000260076,6.0,43346,41,224,False,False,18985240
0xb9a990b83d04684fc1db4a7dfe84b997dbcb3190534acceef85d587c0c953738,4756328,2017-12-18 20:55:40,2017-12-18,20,0x51204a44e7b1a7e7bd0b1065c880ec02d3831b27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.05,0.000910266,21.0,43346,11,101,False,False,18985234
0xfb89f4c3ac6256c590d410f1420b80c6fa45798f571ffeae9fb0b20429b8eafd,4756328,2017-12-18 20:55:40,2017-12-18,20,0x8d44eaae757884f4f8fb4664d07acecee71cfd89,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,745.0,0.000910266,21.0,43346,152,137,False,False,18985234
0x86ec2b8900640f56ed8941762635ac6b4d7364b7af68a5deee810519529b3b92,4756332,2017-12-18 20:56:57,2017-12-18,20,0x51204a44e7b1a7e7bd0b1065c880ec02d3831b27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,12,207,False,False,18985230
0xc295229f30245653a07b5b477fd34c564cfec3361d8ad96fc57687a9aeee8015,4756346,2017-12-18 21:00:02,2017-12-18,21,0x79a8a07e295bb4366f4ddf486850426decd0f4b1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000990696,21.0,47176,18,196,False,False,18985216
0x2f1dea1ba5eb8fcdb30d59bbbfef6b0a35963f7dc80d40d8868b051f9e7ab0ad,4756351,2017-12-18 21:01:37,2017-12-18,21,0x79a8a07e295bb4366f4ddf486850426decd0f4b1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.000675696,21.0,32176,19,3,False,False,18985211
