edge_id,source_id,target_id,transaction_hash,timestamp,date,hour,day_of_week,month,value_eth,gas_fee_eth,gas_price_gwei,time_step
32,134,1016.0,0x00ca6e54f8a2ebe24152429a88d36e0acbfc22761b5a6f18d7362b85f712fbaf,2017-12-18 16:31:21,2017-12-18,16,0,12,1.5,0.000910266,21.0,63
33,134,1016.0,0x06af2dd934b9f3a81c7280d4334cc02a130bbc7d25e2ac4d80b8ccb3b2c63a6e,2017-12-18 16:34:08,2017-12-18,16,0,12,0.0,0.000990696,21.0,63
34,26,1016.0,0xf42eba0d5785c473a8bf889232f7a71bcb844cf4102073db5fecf16e9e590096,2017-12-18 16:39:49,2017-12-18,16,0,12,0.5,0.000910266,21.0,63
35,184,1016.0,0xbfb444c4f6387c9772ad9ca995fa4e5b4e25de7d587bef781d77cc1f9c002eef,2017-12-18 17:45:52,2017-12-18,17,0,12,0.0,0.000188704,4.0,63
36,184,1016.0,0x76480dcafd3e55a9f05dfdaa14668277f58806ed04fe55c41bbf8b7ec360e220,2017-12-18 17:47:11,2017-12-18,17,0,12,0.0,0.000188704,4.0,63
37,184,1016.0,0x56cf4fa2f94f55893b7377313c6b6713e3597be3526cb49d1c1d86f60b26c3ce,2017-12-18 18:04:39,2017-12-18,18,0,12,0.5,0.00021673,5.0,63
38,855,1016.0,0x830b85d91b091a65936e297d09ce7e37a65567381799210ec0cea252b3d10a55,2017-12-18 18:11:34,2017-12-18,18,0,12,0.95,0.000910266,21.0,63
39,855,1016.0,0x7d0ddb02e4a39e02b8472369af7a42e6a0f92213c1ef2b5c1deca2aa93d21a6e,2017-12-18 18:12:32,2017-12-18,18,0,12,0.0,0.000990696,21.0,63
40,691,1016.0,0xe43421a5b135a9566c2803eb853315ccd0e262c4b57a440f1a4d3f3ce4d67201,2017-12-18 18:18:32,2017-12-18,18,0,12,300.0,0.000910266,21.0,63
41,691,1016.0,0x81251be3bc3dbbad6625b8222ce8bb69c2027033aebee10d3e06479aca07b871,2017-12-18 18:19:21,2017-12-18,18,0,12,0.0,0.000990696,21.0,63
42,855,1016.0,0xacf1451d70ead83a7a508af4bb024c055281e2710b38f1cda0fe9615e21a003d,2017-12-18 18:34:01,2017-12-18,18,0,12,0.0,0.000990696,21.0,63
43,1216,1016.0,0x38ed436f10095e49343ba25cbbd196a3316be02dadbde3600ac2d9300a229e26,2017-12-18 18:48:28,2017-12-18,18,0,12,0.0,0.000990696,21.0,63
44,1216,1016.0,0xb788b8cc72a9440f7b1107614daaea97fc1660fae68bff538143f4893bd71937,2017-12-18 18:48:56,2017-12-18,18,0,12,0.3,0.000910266,21.0,63
45,1279,1016.0,0xf97ec7bdeae10848faaa54b8a8fa0dd9e1735b4b6c63154a6090fbb1d0e39c4d,2017-12-18 18:55:59,2017-12-18,18,0,12,100.0,0.000910266,21.0,63
46,1279,1016.0,0xf4374a91d5a5af7d590d593b75db2b115a976c020858c59db4d00d7a236bce2f,2017-12-18 18:58:53,2017-12-18,18,0,12,0.0,0.000990696,21.0,63
47,1054,1016.0,0x3270ec51d160a5561fcfb9b0aad5de089acb5b6ff25fab2213840cc6dda11375,2017-12-18 19:07:45,2017-12-18,19,0,12,0.08,0.001126996,26.0,63
48,167,1016.0,0xa6769f57fd81d2102b0a8e650ee5c3afb1d6c73b6ae740de5d46632a92a6467d,2017-12-18 19:08:25,2017-12-18,19,0,12,0.008,0.000910266,21.0,63
49,1054,1016.0,0xb38a05914f33fd113f6cc5fdac14f9958fb84ebc3321a39d6e09cdef4b203074,2017-12-18 19:09:14,2017-12-18,19,0,12,0.0,0.000990696,21.0,63
50,167,1016.0,0xbff926e27df375552b3b506ea07ec2ede282503fa0114fbf32bd2d05ba30fa5c,2017-12-18 19:10:41,2017-12-18,19,0,12,0.0,0.000990696,21.0,63
51,1017,1016.0,0xeebbc900c49a91c26820a4245ce2beb4a2d5c33cb7b166e19f73157a7ccb4e26,2017-12-18 19:27:07,2017-12-18,19,0,12,219.0,0.000910266,21.0,63
52,1167,1016.0,0x51fe5cd7284d90f5b1d9f189535daa73ba0602eb38c8c910d164b1ccb037f228,2017-12-18 19:39:04,2017-12-18,19,0,12,0.0,0.00023588,5.0,63
53,1167,1016.0,0x2156c8deb63cb9ae47489b49aa093212b2c2823a07f45f67ad0fcfed2c7aa481,2017-12-18 19:41:23,2017-12-18,19,0,12,0.0,0.00023588,5.0,63
54,301,1016.0,0xfa19123967d6a29835c2d4d321fadf82a34fe468c48be77dbcedb6f9a6f1ad49,2017-12-18 19:44:30,2017-12-18,19,0,12,0.01,0.00065019,15.0,63
55,301,1016.0,0x65f3a053c25bed318366182108baf7fa41ff37820640d618e3c709f34f00c8a7,2017-12-18 19:47:58,2017-12-18,19,0,12,0.0,0.00070764,15.0,63
56,120,1016.0,0x9e3c3bffae16d4ce2019d6bf488449cc4dbb0322955fb02ee265e722fafe58fd,2017-12-18 19:50:58,2017-12-18,19,0,12,0.0,0.0010897656,23.1,63
57,335,1016.0,0x14a728c928e2607c020045a5446f376a37e29a09b18d0c6cdc536f175fd21118,2017-12-18 19:51:05,2017-12-18,19,0,12,1.0,0.000910266,21.0,63
58,850,1016.0,0x69f5d898abc183d558fd359583a348a39a237fc853aac1de070df7514a49c05f,2017-12-18 19:52:44,2017-12-18,19,0,12,0.0,0.000990696,21.0,63
59,335,1016.0,0xa40da7796085241f14aa3a07c53d5f1a309066eff260565242faf7a3acdd9485,2017-12-18 19:59:13,2017-12-18,19,0,12,0.0,0.000990696,21.0,63
60,773,1016.0,0xd1a06548e4a0e81754899d62f57c70caae536782eb2f015490a0b74ff6232d36,2017-12-18 20:13:08,2017-12-18,20,0,12,100.0,0.000910266,21.0,63
61,773,1016.0,0xee370c55bf7c744a1a01f3959735726c7a6c0f78c5671cc199385bfcdb88f949,2017-12-18 20:22:09,2017-12-18,20,0,12,0.0,0.000768978,21.0,63
62,773,1016.0,0x868622e276e1782a8b82bf394ddd6a4c2c0f371d119f659a1fa4d41ae189b412,2017-12-18 20:27:08,2017-12-18,20,0,12,750.0,0.000910266,21.0,63
63,672,1016.0,0x44e3db3ab89d819250f135537e8fc51671a5b725636f3e9715410d36b37b3761,2017-12-18 20:29:09,2017-12-18,20,0,12,0.05,0.00130038,30.0,63
64,672,1016.0,0x4888f41472af3b1222d43bf25d3ba11cb7fca621db179f8727fce3b9c05dfb26,2017-12-18 20:30:21,2017-12-18,20,0,12,0.0,0.000990696,21.0,63
65,55,1016.0,0x5ca9c37d06c07fc178aed48056c4b5bc5bcd9314a8a18255f9d6cf608916c035,2017-12-18 20:31:54,2017-12-18,20,0,12,1.0,0.000910266,21.0,63
66,672,1016.0,0x79b42217b3a825ff1b31a76b0c7837d80cb3eb5c659c60fa8f5e5556245d9bf1,2017-12-18 20:34:19,2017-12-18,20,0,12,0.05,0.000346768,8.0,63
67,55,1016.0,0x2db9839ce83d143a9cb0f6981d5d4b6e7d28a1068e48d2f1811e27f92bc04a82,2017-12-18 20:35:54,2017-12-18,20,0,12,0.0,0.000990696,21.0,63
68,26,1016.0,0x70ed1d4d6847c39fc797a58c5d83b58cad8af9eed05a5937cde47737c542ff96,2017-12-18 20:36:39,2017-12-18,20,0,12,0.3,0.000595266,21.0,63
69,672,1016.0,0xe7f032333b19f4f41112a82b71f81ee9dbecc47ef5b91a4c93405ba0593e0f36,2017-12-18 20:37:42,2017-12-18,20,0,12,0.0,0.000955752,21.0,63
70,852,1016.0,0xffd64ea48b0019b379308afd89a69c0470137968a6d2cd799a6ddcaca366cee7,2017-12-18 20:37:46,2017-12-18,20,0,12,0.1,0.000910266,21.0,63
71,55,1016.0,0x24d48134df393b218a7e3ba62a9b4640cbfd0873e88656a94cb75e3dd5def506,2017-12-18 20:38:58,2017-12-18,20,0,12,89.0,0.000910266,21.0,63
72,852,1016.0,0x2c799a1e653f1c11be02256c1e49bd238c7120918a72e1aba615649d60eed65d,2017-12-18 20:38:58,2017-12-18,20,0,12,0.0,0.000990696,21.0,63
73,463,1016.0,0x6ba21cd089d2bfd3a253c5f61cdf63a3f7ea3afa6caf11eb48d787042852a416,2017-12-18 20:42:54,2017-12-18,20,0,12,0.1,0.00260076,60.0,63
74,850,1016.0,0xdba94df6904bca639a61c54e538c8f9cf1ccde08afe6f2acf9c36e3e106f2512,2017-12-18 20:43:20,2017-12-18,20,0,12,0.0,0.000675696,21.0,63
75,463,1016.0,0xe510a2d99d95a6974e5f95a3a745b2ffe873bf6645b764658d978856ac180cd2,2017-12-18 20:45:02,2017-12-18,20,0,12,0.0,0.00129744,60.0,63
76,55,1016.0,0xd9e5f58e9da2fc3f8fad7a20b33271f464626df4d6e82800d04f01375feb7a41,2017-12-18 20:49:22,2017-12-18,20,0,12,0.0,0.000957096,21.0,63
77,555,1016.0,0x1f41f580b642e4115871532ce7909c89477971057609ff2b2c5e440def743301,2017-12-18 20:50:08,2017-12-18,20,0,12,0.1,0.000910266,21.0,63
78,555,1016.0,0xa8a5531668a53beeea65dfbbca1f899c7484cecbaea88e1fbb1b14396de259c2,2017-12-18 20:51:30,2017-12-18,20,0,12,0.0,0.000957096,21.0,63
79,26,1016.0,0x43cbde5c3004cad5d48c700d72944ec3840227c35333a4076059014305bb85b1,2017-12-18 20:52:10,2017-12-18,20,0,12,0.0,0.000955752,21.0,63
80,104,1016.0,0xad2576c243da1137840f7492b3fa50098f825f237176420d3aa27cc4e790eb0b,2017-12-18 20:53:46,2017-12-18,20,0,12,0.5,0.000260076,6.0,63
81,463,1016.0,0xb9a990b83d04684fc1db4a7dfe84b997dbcb3190534acceef85d587c0c953738,2017-12-18 20:55:40,2017-12-18,20,0,12,0.05,0.000910266,21.0,63
82,773,1016.0,0xfb89f4c3ac6256c590d410f1420b80c6fa45798f571ffeae9fb0b20429b8eafd,2017-12-18 20:55:40,2017-12-18,20,0,12,745.0,0.000910266,21.0,63
83,463,1016.0,0x86ec2b8900640f56ed8941762635ac6b4d7364b7af68a5deee810519529b3b92,2017-12-18 20:56:57,2017-12-18,20,0,12,0.0,0.000990696,21.0,63
84,672,1016.0,0xc295229f30245653a07b5b477fd34c564cfec3361d8ad96fc57687a9aeee8015,2017-12-18 21:00:02,2017-12-18,21,0,12,0.0,0.000990696,21.0,63
85,672,1016.0,0x2f1dea1ba5eb8fcdb30d59bbbfef6b0a35963f7dc80d40d8868b051f9e7ab0ad,2017-12-18 21:01:37,2017-12-18,21,0,12,0.0,0.000675696,21.0,63
86,104,1016.0,0x3557362f4060d8b0fefeb86b402323f9d747e2402069362d629c5897e60e97c9,2017-12-18 21:01:41,2017-12-18,21,0,12,0.0,0.00047176,10.0,63
87,918,1016.0,0x4758c5a7671e5a9fe3bee73711bcce8eb26513996ef5fdb25fb82bc0bb2fe98b,2017-12-18 21:03:03,2017-12-18,21,0,12,306.9,0.000910266,21.0,63
88,463,1016.0,0xb7d815ff29ad872b7158b24365783e9e98956c14aaf69f1983998804daf134cd,2017-12-18 21:04:58,2017-12-18,21,0,12,0.0,0.000954408,21.0,63
89,228,1016.0,0x2f1c5066ee7b0173f6bd37157d8555967df73717c34fb749ee1a6ec3fa89f2fb,2017-12-18 21:07:43,2017-12-18,21,0,12,0.03,0.000910266,21.0,63
90,228,1016.0,0x6e1876d43d63c5ecd71d767ba47cec9957f22a867ee9084074f2c4bdc0384955,2017-12-18 21:10:10,2017-12-18,21,0,12,0.0,0.000955752,21.0,63
91,672,1016.0,0xb5956f00ea6a0a236c84f4f77508394ff2bcf547b8442fe49f3361e87efa05ce,2017-12-18 21:11:52,2017-12-18,21,0,12,0.329,0.000595266,21.0,63
92,497,1016.0,0x1c410e6f17567abc2512819251858b04892cccb5a112dc2c89ca8791bc7c8649,2017-12-18 21:21:04,2017-12-18,21,0,12,0.5,0.000910266,21.0,63
93,497,1016.0,0x5b89fbe4280bed14d0f2f540b3e5349ab190fec0e34fd89ef0801c7d8739bd00,2017-12-18 21:27:15,2017-12-18,21,0,12,0.0,0.000990696,21.0,63
94,935,1016.0,0xc6ddfb4e19e400497f9e8f3ddd0b6dcd35f1fae0ec8c7ab92ee71a7704915025,2017-12-18 21:32:48,2017-12-18,21,0,12,0.9648,0.000910266,21.0,63
95,1167,1016.0,0x215d2b6604f01741cecb56f55805479a8f303ffddaec7963db478ec3458bd99f,2017-12-18 21:34:21,2017-12-18,21,0,12,0.5,0.000260076,6.0,63
96,55,1016.0,0xba535a05e4e4aa2183b5bf68429102382d9d4c0607d43ad95140a40aeb556449,2017-12-18 21:43:53,2017-12-18,21,0,12,200.0,0.000595266,21.0,63
97,1044,1016.0,0x60ff6a254b98e653a135a1937c5155a19f966904bcbcdfc7ea274d5030e9564a,2017-12-18 21:49:32,2017-12-18,21,0,12,0.0,0.001368104,29.0,63
98,493,1016.0,0xba092fc9dc0dd860db4473e3b37c2558de72cb99f3a9cfe537bb0a3d56c6e255,2017-12-18 21:53:56,2017-12-18,21,0,12,0.01,0.000910266,21.0,63
99,730,1016.0,0x93f293f9ac3ba5730ce081237c686a21b22cb3cb9678f49c4477733bb1e5bcfd,2017-12-18 21:53:56,2017-12-18,21,0,12,0.18,0.000910266,21.0,63
100,730,1016.0,0x6bf20e13e745bdecda03dbe0d0202a14ec1964c6661d6f5e4fee32708eda87f8,2017-12-18 21:54:39,2017-12-18,21,0,12,0.0,0.000801992,17.0,63
101,490,1016.0,0x0ec40b868c8431d6e6b812e8be134f0a94101f3d39440995a86446989e7b0e0c,2017-12-18 21:59:55,2017-12-18,21,0,12,0.01,0.000910266,21.0,63
102,898,1016.0,0x1e38856849728f7f502ee24b6273e6055bb72f067ba27f2492278eedd69bd5c5,2017-12-18 22:03:45,2017-12-18,22,0,12,0.115,0.000910266,21.0,63
103,490,1016.0,0x7ed0273f5ec42186e1617723cb1cbd422024a4d4a8c8b50f0554867fe501a0b5,2017-12-18 22:09:25,2017-12-18,22,0,12,0.0,0.000990696,21.0,63
104,243,1016.0,0xa9706f72d468ac2d02249770f25b850a47e8ef23bd49e2a218eeab988aed54f8,2017-12-18 22:10:23,2017-12-18,22,0,12,0.1,0.000173384,4.0,63
105,519,1016.0,0xa00a542fe7429f17be95bdb9cc6edb7772d61ad97f6d051480f43d5bc6771e8f,2017-12-18 22:10:48,2017-12-18,22,0,12,0.0,0.000283056,6.0,63
107,490,1016.0,0x45d32d544422d5fac5a06ecd28116edfe0dd7b86b2982dc288c46d94794f2888,2017-12-18 22:13:15,2017-12-18,22,0,12,0.0,0.000990696,21.0,63
106,81,1016.0,0x16c6f09a001d970c8dfec30eba89b596428629b6d0574d10d20cb5247e313102,2017-12-18 22:13:15,2017-12-18,22,0,12,2.0,0.000910266,21.0,63
108,898,1016.0,0x1e7b121ec4d86535cc1feb38f1e673d843ec27116594edc129c2be709fb8d515,2017-12-18 22:14:51,2017-12-18,22,0,12,0.0,0.000455448,21.0,63
109,1309,1016.0,0xdc14eecbb7d45f4fc30a06b1c8019d837f0bdfec9d13aca9ace66567fe5235a6,2017-12-18 22:14:51,2017-12-18,22,0,12,1.0,0.000910266,21.0,63
110,81,1016.0,0xaf85e8a3069dd3f5a45017917ddc407fe412bb5431079d184efdbe37666d0cd1,2017-12-18 22:16:55,2017-12-18,22,0,12,0.0,0.000990696,21.0,63
111,1309,1016.0,0x7f8f59c00b807e6c94cc79a976aa6d60f3174797e47b2c342a2856d8ebee5cae,2017-12-18 22:23:10,2017-12-18,22,0,12,0.0,0.000990696,21.0,63
112,493,1016.0,0x4dd8a520c4d3bb69dbf8b98ff181eea88efee35106cb59d1300d7e8b9e0bb55a,2017-12-18 22:23:10,2017-12-18,22,0,12,0.0,0.000954408,21.0,63
113,493,1016.0,0x25954898abc7cda40b705c744182cf7025b7f82f74698207feb5901a742cf023,2017-12-18 22:24:35,2017-12-18,22,0,12,0.0,0.000639408,21.0,63
114,598,1016.0,0x6ced391b772a5d51f0519f324b54f3daf7d3b637bf450043f96180075cd27389,2017-12-18 22:29:23,2017-12-18,22,0,12,0.5,0.000476806,11.0,63
115,55,1016.0,0x3ee451f7d4f8d7660e49b44df28b00cd975985292ca4f1c32ebd88fdcf39c434,2017-12-18 22:33:13,2017-12-18,22,0,12,200.0,0.000595266,21.0,63
116,561,1016.0,0xd59cb9cbb0c694b5b377dcdf90c9285e032f52ed123bc318ebeb59908b44dcb4,2017-12-18 22:38:07,2017-12-18,22,0,12,1.0,0.00130038,30.0,63
117,561,1016.0,0x5f7d5aa2c2d2ead89e040cd0241f145128b2a9347c1dbe9a79d93592eaf6aa0d,2017-12-18 22:39:18,2017-12-18,22,0,12,0.0,0.00136728,30.0,63
118,81,1016.0,0xc209ee369b2f11016d9b1bbd32144534789c526e2d6a4b6b0742348628597fc1,2017-12-18 22:43:46,2017-12-18,22,0,12,0.5,0.000910266,21.0,63
119,468,1016.0,0xf2de48aa7e43b97f83c7140a15fc0b1a89f6961b8e2c1b0f91f1fcd7c62ca3b1,2017-12-18 22:46:16,2017-12-18,22,0,12,0.01,0.000606844,14.0,63
120,598,1016.0,0x6cbe9a9186136f896df31bb05166895db78c8d186d697e40abcc9db08c1896b4,2017-12-18 22:52:35,2017-12-18,22,0,12,0.0,0.000237864,11.0,63
121,933,1016.0,0x28ca6eb89118cf171227627b182948bcfc42cdde9731d17bd02206a43ddee8ba,2017-12-18 22:58:30,2017-12-18,22,0,12,0.01,0.000910266,21.0,63
122,779,1016.0,0x2f74b6eede484d63b7dacf983b3895e92aed308606ce32d68912b28e2d33dda9,2017-12-18 23:09:00,2017-12-18,23,0,12,0.1,0.000520152,12.0,63
123,467,1016.0,0x4909bc4c8e3509fe41674ba9793fd36fbfae56e02dbbd51bef3cac7cadbeeabf,2017-12-18 23:18:36,2017-12-18,23,0,12,0.01,0.000910266,21.0,63
124,668,1016.0,0x3a8507081d899156acfba1fca00e9ed56b26fd32eae5a8ed91e8179afcf20166,2017-12-18 23:19:41,2017-12-18,23,0,12,1.0,0.000910266,21.0,63
125,467,1016.0,0x7141723f1d8827aafcf597d6b7e27cf7e69fcb9af28450930c9dff2a4b1fbba2,2017-12-18 23:20:31,2017-12-18,23,0,12,0.0,0.000990696,21.0,63
126,779,1016.0,0xa47878f3bab88686319e7b0eeb8c66ecf5e2ef439bec5854b1cb2eb8ea13a36a,2017-12-18 23:20:45,2017-12-18,23,0,12,0.0,0.000518936,11.0,63
128,668,1016.0,0x57d27cae5d841bad5f3cc7753925a92ef44ccc6c858e897917af4678f509d8b3,2017-12-18 23:22:46,2017-12-18,23,0,12,0.0,0.00068268,15.0,63
127,935,1016.0,0x7a58c3f199d3100447f0159e5c0a622baa4abce5f58abb4677dbf19168262198,2017-12-18 23:22:46,2017-12-18,23,0,12,0.0,0.00068268,15.0,63
129,73,1016.0,0x9796294bafa311d7057bd808dd9fbcfeba27124771065b565f052c60e252a752,2017-12-18 23:27:42,2017-12-18,23,0,12,0.001,0.000346768,8.0,63
130,1253,1016.0,0xd2ccd62bdab621b78eed7d7f7ed3f28edc08ab709746ad5845eec7d7a13ba356,2017-12-18 23:40:04,2017-12-18,23,0,12,1.0,0.000303422,7.0,63
131,210,1016.0,0x052021cfae0d7146074c609d15b6734be73395604063ec02a6c0cf23a75f2c49,2017-12-18 23:40:30,2017-12-18,23,0,12,4.9,0.000910266,21.0,63
132,481,1016.0,0xfd333de766b271e2991ad84b877b2c4dd0142333e44c4854e3c1706aadf5912b,2017-12-18 23:42:52,2017-12-18,23,0,12,0.1,0.000910266,21.0,63
133,385,1016.0,0xdb291ed7b3ece0cd305c3662ba4d04414d43b1eb84b2621e97cdd0e5753721d9,2017-12-18 23:42:52,2017-12-18,23,0,12,0.062,0.000910266,21.0,63
134,481,1016.0,0x04eec5bc88b05b33958dcca4d6b660f91519a0bc5b268c876108bab85aeb18b8,2017-12-18 23:46:42,2017-12-18,23,0,12,0.0,0.000454104,21.0,63
135,210,1016.0,0xf56399029fa7318d4a2cf36b68f9792c335fcdb031a134b96441206767b5e022,2017-12-18 23:47:32,2017-12-18,23,0,12,0.0,0.000955752,21.0,63
136,561,1016.0,0x3ea3b5a9b3023df6e5fca24964d1c3a4bf7225326dbc61fd3a26c70a9e45723f,2017-12-18 23:51:18,2017-12-18,23,0,12,0.0,0.00045276,21.0,63
137,73,1016.0,0x4f8f5622ef93be39b5c464c2cf444903a3706fd80bad9ad92e750e6327bf1995,2017-12-18 23:55:09,2017-12-18,23,0,12,0.0,0.00023588,5.0,63
138,1253,1016.0,0x16e6a34e26d5e5e13cad1126bc1d4d18a243184d577df006b30e00b2427efbdc,2017-12-18 23:58:27,2017-12-18,23,0,12,0.0,0.000318584,7.0,63
139,385,1016.0,0x4f2415223ae536ecc3bcc36c4f3401697dda43b9f47a7e56cdd1f16ea0267e46,2017-12-19 00:03:04,2017-12-19,0,1,12,0.0,0.000954408,21.0,63
140,385,1016.0,0xe619aa66d99ae25ad3ab9c21ecc66b8c83ac93890d9cb0bbf919a7924374e48f,2017-12-19 00:03:20,2017-12-19,0,1,12,0.0,0.000639408,21.0,63
141,468,1016.0,0xdc143b28ee674a38ee95f8b5ad735200dd0568af4de7e693b245ab0acf13feaf,2017-12-19 00:03:20,2017-12-19,0,1,12,0.0,0.00030184,14.0,63
142,1253,1016.0,0xcf3d8d2a0a4335ebaef624bea832989fde483c83d1d87d0af20cb11770df2a3e,2017-12-19 00:04:34,2017-12-19,0,1,12,0.0,0.000377408,8.0,63
143,1259,1016.0,0x204794e283af3972259f31f164a40d9589f541bd29e4019b2f96a19372243886,2017-12-19 00:04:39,2017-12-19,0,1,12,0.0,0.000990696,21.0,63
